brand,model,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
American Motors,Matador,8,304.0,150.0,3672.0,11.5,73,USA,14.0
American Motors,Gremlin,6,232.0,100.0,2789.0,15.0,73,USA,18.0
American Motors,Ambassador sst,8,304.0,150.0,3672.0,11.5,72,USA,17.0
American Motors,Hornet,6,232.0,100.0,2945.0,16.0,73,USA,18.0
American Motors,Rebel sst,8,304.0,150.0,3433.0,12.0,70,USA,16.0
American Motors,Pacer,6,232.0,90.0,3211.0,17.0,75,USA,19.0
American Motors,Gremlin,6,232.0,100.0,2914.0,16.0,75,USA,20.0
American Motors,Ambassador brougham,8,360.0,175.0,3821.0,11.0,73,USA,13.0
American Motors,Matador (sw),8,304.0,150.0,3892.0,12.5,72,USA,15.0
American Motors,Ambassador dpl,8,390.0,190.0,3850.0,8.5,70,USA,15.0
American Motors,Hornet,6,232.0,90.0,3085.0,17.6,76,USA,22.5
American Motors,Pacer d/l,6,258.0,95.0,3193.0,17.8,76,USA,17.5
American Motors,Matador,6,258.0,110.0,3730.0,19.0,75,USA,15.0
American Motors,Matador,8,304.0,120.0,3962.0,13.9,76,USA,15.5
American Motors,Spirit dl,4,121.0,80.0,2670.0,15.0,79,USA,27.4
American Motors,Matador (sw),8,304.0,150.0,4257.0,15.5,74,USA,14.0
American Motors,Hornet,6,199.0,97.0,2774.0,15.5,70,USA,18.0
American Motors,Hornet sportabout (sw),6,258.0,110.0,2962.0,13.5,71,USA,18.0
American Motors,Concord,4,151.0,90.0,3003.0,20.1,80,USA,24.3
American Motors,Hornet,6,232.0,100.0,2901.0,16.0,74,USA,19.0
American Motors,Concord,6,232.0,90.0,3210.0,17.2,78,USA,19.4
American Motors,Concord d/l,6,258.0,120.0,3410.0,15.1,78,USA,18.1
American Motors,Matador,6,258.0,110.0,3632.0,18.0,74,USA,16.0
American Motors,Matador,6,232.0,100.0,3288.0,15.5,71,USA,18.0
American Motors,Gremlin,6,199.0,90.0,2648.0,15.0,70,USA,21.0
American Motors,Concord dl 6,6,232.0,90.0,3265.0,18.2,79,USA,20.2
American Motors,Gremlin,6,232.0,100.0,2634.0,13.0,71,USA,19.0
Audi,100 ls,4,107.0,90.0,2430.0,14.5,70,Europe,24.0
Audi,5000s (diesel),5,121.0,67.0,2950.0,19.9,80,Europe,36.4
Audi,100ls,4,114.0,91.0,2582.0,14.0,73,Europe,20.0
Audi,Fox,4,98.0,83.0,2219.0,16.5,74,Europe,29.0
Audi,100ls,4,115.0,95.0,2694.0,15.0,75,Europe,23.0
Audi,5000,5,131.0,103.0,2830.0,15.9,78,Europe,20.3
Audi,4000,4,97.0,78.0,2188.0,15.8,80,Europe,34.3
BMW,2002,4,121.0,113.0,2234.0,12.5,70,Europe,26.0
BMW,320i,4,121.0,110.0,2600.0,12.8,77,Europe,21.5
Buick,Regal sport coupe (turbo),6,231.0,165.0,3445.0,13.4,78,USA,17.7
Buick,Century,6,231.0,110.0,3415.0,15.8,81,USA,22.4
Buick,Skylark 320,8,350.0,165.0,3693.0,11.5,70,USA,15.0
Buick,Lesabre custom,8,350.0,155.0,4502.0,13.5,72,USA,13.0
Buick,Skylark limited,4,151.0,90.0,2670.0,16.0,79,USA,28.4
Buick,Century 350,8,350.0,175.0,4100.0,13.0,73,USA,13.0
Buick,Century limited,6,181.0,110.0,2945.0,16.4,82,USA,25.0
Buick,Century luxus (sw),8,350.0,150.0,4699.0,14.5,74,USA,13.0
Buick,Estate wagon (sw),8,455.0,225.0,3086.0,10.0,70,USA,14.0
Buick,Skylark,6,231.0,105.0,3425.0,16.9,77,USA,20.5
Buick,Skyhawk,6,231.0,110.0,3039.0,15.0,75,USA,21.0
Buick,Skylark,4,151.0,84.0,2635.0,16.4,81,USA,26.6
Buick,Estate wagon (sw),8,350.0,155.0,4360.0,14.9,79,USA,16.9
Buick,Century special,6,231.0,105.0,3380.0,15.8,78,USA,20.6
Buick,Century,6,231.0,110.0,3907.0,21.0,75,USA,17.0
Buick,Opel isuzu deluxe,4,111.0,80.0,2155.0,14.8,77,USA,30.0
Buick,Electra 225 custom,8,455.0,225.0,4951.0,11.0,73,USA,12.0
